Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,2.980000,3.020000,2.980000,3.020000,1.533434,284200
2007-01-04,3.020000,3.020000,2.990000,3.020000,1.533434,178700
2007-01-05,3.000000,3.000000,2.990000,3.000000,1.523279,251400
2007-01-08,3.000000,3.000000,2.950000,2.960000,1.502969,207700
2007-01-09,2.970000,2.990000,2.930000,2.990000,1.518201,302100
2007-01-10,2.950000,2.950000,2.930000,2.950000,1.497891,42500
2007-01-11,2.930000,2.960000,2.930000,2.930000,1.487736,201600
2007-01-12,2.930000,2.950000,2.900000,2.920000,1.482658,243500
2007-01-15,2.920000,3.200000,2.920000,3.160000,1.604520,496300
2007-01-16,3.200000,3.300000,3.100000,3.140000,1.594365,317800
2007-01-17,3.160000,3.200000,3.140000,3.180000,1.614676,259000
2007-01-18,3.160000,3.160000,3.100000,3.140000,1.594365,141000
2007-01-19,3.120000,3.120000,3.060000,3.080000,1.563900,108600
2007-01-22,3.140000,3.180000,3.100000,3.120000,1.584210,284600
2007-01-23,3.120000,3.120000,3.060000,3.080000,1.563900,219400
2007-01-24,3.100000,3.140000,3.040000,3.040000,1.543589,245400
2007-01-25,3.040000,3.080000,3.020000,3.020000,1.533434,168100
2007-01-26,3.020000,3.040000,3.000000,3.040000,1.543589,62500
2007-01-29,3.060000,3.140000,3.020000,3.020000,1.533434,61500
2007-01-30,3.060000,3.100000,3.020000,3.040000,1.543589,92500
2007-01-31,3.040000,3.080000,3.020000,3.020000,1.533434,289600
2007-02-02,3.080000,3.100000,3.080000,3.080000,1.563900,82500
2007-02-05,3.080000,3.160000,3.060000,3.100000,1.574055,73300
2007-02-06,3.060000,3.120000,3.060000,3.100000,1.574055,133400
2007-02-07,3.100000,3.120000,3.060000,3.120000,1.584210,84300
2007-02-08,3.120000,3.140000,3.080000,3.140000,1.594365,119000
2007-02-09,3.140000,3.160000,3.080000,3.140000,1.594365,78500
2007-02-12,3.120000,3.140000,3.080000,3.140000,1.594365,46000
2007-02-13,3.100000,3.140000,3.080000,3.100000,1.574055,57200
2007-02-14,3.100000,3.160000,3.100000,3.140000,1.594365,142100
2007-02-15,3.140000,3.300000,3.120000,3.300000,1.675606,477100
2007-02-16,3.200000,3.260000,3.180000,3.260000,1.655296,163900
2007-02-21,3.300000,3.300000,3.200000,3.220000,1.634986,165300
2007-02-22,3.240000,3.240000,3.160000,3.220000,1.634986,128100
