Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,1.068130,1.135414,1.068130,1.135414,0.677217,22867306
2007-01-04,1.135414,1.135414,1.110183,1.127004,0.672201,6540649
2007-01-05,1.127004,1.152235,1.118593,1.152235,0.687250,16435448
2007-01-08,1.143825,1.143825,1.118593,1.135414,0.677217,7213619
2007-01-09,1.135414,1.143825,1.127004,1.135414,0.677217,6532327
2007-01-10,1.135414,1.135414,1.118593,1.127004,0.672201,6059107
2007-01-11,1.118593,1.118593,1.101772,1.118593,0.667184,5357007
2007-01-12,1.118593,1.143825,1.118593,1.135414,0.677217,19400202
2007-01-15,1.143825,1.160646,1.135414,1.160646,0.692266,30361528
2007-01-16,1.152235,1.177467,1.143825,1.169056,0.697282,24176387
2007-01-17,1.169056,1.227929,1.169056,1.219519,0.727381,23344092
2007-01-18,1.219519,1.261571,1.211108,1.244750,0.742430,25614474
2007-01-19,1.244750,1.269982,1.227929,1.261571,0.752463,37475272
2007-01-22,1.253161,1.286803,1.244750,1.269982,0.757480,26271392
2007-01-23,1.269982,1.269982,1.244750,1.244750,0.742430,17021027
2007-01-24,1.244750,1.261571,1.236340,1.253161,0.747447,31145669
2007-01-25,1.261571,1.269982,1.211108,1.219519,0.727381,32857818
2007-01-26,1.211108,1.219519,1.202698,1.202698,0.717348,12312616
2007-01-29,1.202698,1.227929,1.202698,1.211108,0.722364,19657025
2007-01-30,1.211108,1.236340,1.211108,1.236340,0.737414,14102644
2007-01-31,1.236340,1.278392,1.236340,1.244750,0.742430,19243255
2007-02-02,1.253161,1.269982,1.227929,1.261571,0.752463,49979316
2007-02-05,1.269982,1.278392,1.253161,1.261571,0.752463,33819714
2007-02-06,1.269982,1.295213,1.244750,1.295213,0.772528,32306126
2007-02-07,1.295213,1.295213,1.261571,1.278392,0.762496,24885027
2007-02-08,1.278392,1.286803,1.269982,1.278392,0.762496,18405610
2007-02-09,1.278392,1.295213,1.269982,1.295213,0.772528,28943654
2007-02-12,1.295213,1.295213,1.269982,1.286803,0.767513,11925004
2007-02-13,1.286803,1.286803,1.269982,1.278392,0.762496,20247954
2007-02-14,1.278392,1.295213,1.269982,1.295213,0.772528,18739122
2007-02-15,1.295213,1.303624,1.278392,1.303624,0.777545,29897821
2007-02-16,1.312034,1.337266,1.295213,1.337266,0.797611,19450734
2007-02-21,1.337266,1.362497,1.328855,1.354087,0.807644,21069548
2007-02-22,1.354087,1.354087,1.337266,1.345676,0.802627,11531447
2007-02-23,1.345676,1.354087,1.320445,1.337266,0.797611,19641568
2007-02-26,1.337266,1.337266,1.269982,1.269982,0.757480,21628375
2007-02-27,1.261571,1.269982,1.177467,1.194288,0.712332,39295621
2007-02-28,1.110183,1.169056,0.992436,1.152235,0.687250,51506578
2007-03-01,1.160646,1.185877,1.110183,1.152235,0.687250,19592819
2007-03-02,1.143825,1.143825,1.110183,1.118593,0.667184,19354426
2007-03-05,1.101772,1.101772,1.026078,1.026078,0.612003,21367986
2007-03-06,1.034488,1.118593,1.026078,1.118593,0.667184,12091463
2007-03-07,1.135414,1.160646,1.118593,1.135414,0.677217,9548802
2007-03-08,1.135414,1.177467,1.110183,1.160646,0.692266,16166736
2007-03-09,1.177467,1.185877,1.127004,1.127004,0.672201,10243768
2007-03-12,1.135414,1.177467,1.135414,1.160646,0.692266,10077903
2007-03-13,1.169056,1.185877,1.152235,1.160646,0.692266,14016442
2007-03-14,1.143825,1.143825,1.093362,1.110183,0.662168,15540731
2007-03-15,1.127004,1.160646,1.118593,1.127004,0.672201,2974265
2007-03-16,1.135414,1.143825,1.127004,1.135414,0.677217,5623936
2007-03-19,1.152235,1.177467,1.127004,1.177467,0.702299,2480239
2007-03-20,1.194288,1.236340,1.169056,1.227929,0.732397,14660282
2007-03-21,1.227929,1.227929,1.194288,1.194288,0.712332,11155725
2007-03-22,1.194288,1.236340,1.194288,1.219519,0.727381,12441027
2007-03-23,1.219519,1.236340,1.219519,1.219519,0.727381,12122377
2007-03-26,1.227929,1.261571,1.227929,1.236340,0.737414,11288893
2007-03-27,1.244750,1.253161,1.211108,1.219519,0.734880,11067740
2007-03-28,1.219519,1.219519,1.160646,1.160646,0.699403,16532946
2007-03-29,1.143825,1.160646,1.127004,1.135414,0.684198,19372855
2007-03-30,1.152235,1.169056,1.152235,1.152235,0.694335,4961667
2007-04-02,1.160646,1.169056,1.143825,1.143825,0.689267,7548915
2007-04-03,1.143825,1.202698,1.143825,1.177467,0.709540,15023519
2007-04-04,1.194288,1.202698,1.185877,1.185877,0.714607,5848656
2007-04-05,1.194288,1.219519,1.185877,1.219519,0.734880,8290847
2007-04-06,1.211108,1.219519,1.202698,1.202698,0.724744,8343163
2007-04-09,1.202698,1.227929,1.202698,1.219519,0.734880,13503986
2007-04-10,1.227929,1.227929,1.202698,1.211108,0.729811,7355704
2007-04-11,1.211108,1.211108,1.185877,1.194288,0.719676,11990398
2007-04-12,1.177467,1.202698,1.177467,1.202698,0.724744,3732843
2007-04-13,1.202698,1.219519,1.202698,1.211108,0.729811,13865440
2007-04-16,1.211108,1.236340,1.202698,1.211108,0.729811,7507895
2007-04-17,1.211108,1.253161,1.202698,1.253161,0.755152,20552336
2007-04-18,1.244750,1.244750,1.211108,1.227929,0.739948,8309871
2007-04-19,1.211108,1.219519,1.177467,1.219519,0.734880,15642985
2007-04-20,1.211108,1.227929,1.202698,1.219519,0.734880,4102620
2007-04-23,1.211108,1.244750,1.211108,1.219519,0.734880,10830536
2007-04-24,1.211108,1.227929,1.211108,1.227929,0.739948,5091267
2007-04-25,1.227929,1.227929,1.211108,1.227929,0.739948,6407482
2007-04-26,1.227929,1.227929,1.227929,1.227929,0.739948,0
2007-04-27,1.227929,1.244750,1.227929,1.236340,0.745016,23191306
2007-04-30,1.227929,1.227929,1.194288,1.227929,0.739948,4377871
2007-05-03,1.236340,1.269982,1.236340,1.269982,0.765289,32985041
2007-05-04,1.269982,1.286803,1.244750,1.269982,0.765289,16244615
2007-05-07,1.269982,1.354087,1.244750,1.345676,0.810902,28253443
2007-05-08,1.354087,1.379318,1.328855,1.362497,0.821038,40623726
2007-05-09,1.362497,1.362497,1.312034,1.337266,0.805834,10247929
2007-05-10,1.337266,1.362497,1.337266,1.345676,0.810902,8106553
2007-05-11,1.337266,1.337266,1.312034,1.328855,0.800766,4693549
2007-05-14,1.337266,1.345676,1.328855,1.337266,0.805834,9145733
2007-05-15,1.337266,1.337266,1.295213,1.303624,0.785562,9082716
2007-05-16,1.303624,1.337266,1.295213,1.337266,0.805834,7888373
2007-05-17,1.337266,1.370908,1.337266,1.362497,0.821038,19091064
2007-05-18,1.362497,1.421370,1.362497,1.421370,0.856515,28692776
2007-05-21,1.429781,1.480244,1.412960,1.463423,0.881856,60402623
2007-05-22,1.463423,1.471833,1.429781,1.471833,0.886924,14640664
2007-05-23,1.471833,1.505475,1.455012,1.497065,0.902129,19389501
2007-05-24,1.497065,1.505475,1.438191,1.446602,0.871720,16141767
2007-05-25,1.429781,1.438191,1.404550,1.429781,0.861583,30694446
2007-05-28,1.421370,1.455012,1.421370,1.446602,0.871720,11369150
2007-05-29,1.455012,1.480244,1.429781,1.480244,0.891993,17306386
2007-05-30,1.480244,1.480244,1.412960,1.429781,0.861583,26144170
2007-05-31,1.429781,1.497065,1.429781,1.497065,0.902129,89260669
2007-06-01,1.488654,1.488654,1.463423,1.463423,0.881856,19789597
2007-06-04,1.471833,1.480244,1.455012,1.463423,0.881856,9048830
2007-06-05,1.463423,1.488654,1.455012,1.463423,0.881856,19777708
2007-06-06,1.463423,1.463423,1.429781,1.429781,0.861583,10457787
2007-06-07,1.421370,1.455012,1.404550,1.438191,0.866651,8923391
2007-06-08,1.429781,1.429781,1.387729,1.429781,0.869208,11051689
2007-06-11,1.429781,1.438191,1.404550,1.404550,0.853870,5804663
2007-06-12,1.404550,1.421370,1.396139,1.421370,0.864095,8085151
2007-06-13,1.412960,1.421370,1.404550,1.421370,0.864095,1914278
2007-06-14,1.421370,1.429781,1.404550,1.429781,0.869208,6140553
2007-06-15,1.429781,1.429781,1.412960,1.412960,0.858982,3286376
2007-06-18,1.429781,1.429781,1.412960,1.412960,0.858982,3281
2007-06-19,1.438191,1.463423,1.421370,1.463423,0.889660,7134551
2007-06-20,1.463423,1.463423,1.421370,1.438191,0.874321,28850318
2007-06-21,1.421370,1.455012,1.421370,1.438191,0.874321,14343415
2007-06-22,1.421370,1.421370,1.379318,1.396139,0.848756,31994015
2007-06-25,1.379318,1.396139,1.379318,1.387729,0.843643,7089964
2007-06-26,1.379318,1.387729,1.345676,1.354087,0.823191,18619628
2007-06-27,1.354087,1.370908,1.354087,1.362497,0.828304,7476981
2007-06-28,1.362497,1.379318,1.362497,1.379318,0.838530,4858819
2007-06-29,1.370908,1.387729,1.362497,1.387729,0.843643,9192698
2007-07-02,1.387729,1.421370,1.387729,1.421370,0.864095,3381495
2007-07-03,1.421370,1.429781,1.404550,1.429781,0.869208,6937773
2007-07-04,1.429781,1.429781,1.412960,1.412960,0.858982,3014691
2007-07-05,1.412960,1.412960,1.387729,1.387729,0.843643,3282214
2007-07-06,1.396139,1.412960,1.387729,1.396139,0.848756,3305994
2007-07-09,1.396139,1.396139,1.387729,1.387729,0.843643,2231145
2007-07-10,1.379318,1.387729,1.370908,1.370908,0.833417,10504752
2007-07-11,1.362497,1.362497,1.328855,1.328855,0.807852,27481193
2007-07-12,1.345676,1.345676,1.328855,1.345676,0.818078,11501128
2007-07-13,1.362497,1.379318,1.345676,1.362497,0.828304,7556644
2007-07-16,1.362497,1.362497,1.337266,1.337266,0.812965,9096390
2007-07-17,1.345676,1.345676,1.320445,1.328855,0.807852,7811683
2007-07-18,1.328855,1.328855,1.303624,1.328855,0.807852,8743853
2007-07-19,1.320445,1.320445,1.286803,1.295213,0.787400,20961350
2007-07-20,1.312034,1.328855,1.303624,1.320445,0.802739,2031988
2007-07-23,1.320445,1.320445,1.303624,1.303624,0.792513,5617991
2007-07-24,1.286803,1.312034,1.286803,1.286803,0.782287,21187
2007-07-25,1.278392,1.303624,1.278392,1.278392,0.777174,11301972
2007-07-26,1.286803,1.286803,1.269982,1.269982,0.772061,3105649
2007-07-27,1.244750,1.269982,1.244750,1.261571,0.766948,6089427
2007-07-30,1.261571,1.278392,1.244750,1.261571,0.766948,5396838
2007-07-31,1.261571,1.286803,1.261571,1.278392,0.777174,5594211
2007-08-01,1.278392,1.278392,1.244750,1.253161,0.761835,20916168
2007-08-02,1.269982,1.269982,1.202698,1.202698,0.731157,11724064
2007-08-03,1.211108,1.253161,1.211108,1.244750,0.756722,6921127
2007-08-06,1.211108,1.211108,1.194288,1.202698,0.731157,6610800
2007-08-07,1.227929,1.236340,1.202698,1.211108,0.736270,8379427
2007-08-08,1.219519,1.227929,1.169056,1.202698,0.731157,15848680
2007-08-09,1.211108,1.253161,1.211108,1.253161,0.761835,3377334
2007-08-10,1.177467,1.211108,1.177467,1.211108,0.736270,26712509
2007-08-13,1.211108,1.211108,1.211108,1.211108,0.736270,0
2007-08-14,1.211108,1.227929,1.194288,1.219519,0.741384,5816553
2007-08-15,1.211108,1.211108,1.177467,1.202698,0.731157,7821195
2007-08-16,1.177467,1.177467,1.127004,1.169056,0.710706,16468146
2007-08-17,1.169056,1.177467,1.068130,1.177467,0.715819,15367138
2007-08-20,1.211108,1.219519,1.169056,1.219519,0.741384,9485785
2007-08-21,1.211108,1.211108,1.185877,1.202698,0.731157,8208212
2007-08-22,1.202698,1.211108,1.194288,1.211108,0.736270,9015538
2007-08-23,1.219519,1.236340,1.219519,1.236340,0.751609,6260642
2007-08-24,1.227929,1.253161,1.219519,1.253161,0.761835,5877786
2007-08-27,1.261571,1.286803,1.253161,1.269982,0.772061,4607347
2007-08-28,1.261571,1.261571,1.244750,1.261571,0.766948,2234712
2007-08-29,1.227929,1.244750,1.211108,1.244750,0.756722,3075330
2007-08-30,1.244750,1.244750,1.211108,1.244750,0.756722,3924271
2007-09-03,1.253161,1.261571,1.236340,1.244750,0.756722,5120397
2007-09-04,1.219519,1.236340,1.219519,1.219519,0.741384,1957676
2007-09-05,1.219519,1.227929,1.202698,1.219519,0.741384,9428119
2007-09-06,1.211108,1.236340,1.211108,1.227929,0.746496,4645395
2007-09-07,1.236340,1.236340,1.219519,1.227929,0.746496,12476102
2007-09-10,1.227929,1.236340,1.202698,1.219519,0.741384,1472567
2007-09-11,1.227929,1.236340,1.211108,1.236340,0.751609,7352732
2007-09-12,1.244750,1.244750,1.227929,1.227929,0.746496,5545462
2007-09-13,1.236340,1.236340,1.227929,1.227929,0.746496,433982
2007-09-14,1.227929,1.244750,1.227929,1.236340,0.751609,3494450
2007-09-17,1.227929,1.227929,1.227929,1.227929,0.746496,921469
2007-09-18,1.227929,1.236340,1.219519,1.219519,0.741384,8691538
2007-09-19,1.236340,1.244750,1.211108,1.236340,0.751609,3738193
2007-09-20,1.236340,1.261571,1.219519,1.261571,0.766948,9501242
2007-09-21,1.244750,1.261571,1.244750,1.253161,0.761835,6236267
2007-09-24,1.253161,1.253161,1.211108,1.236340,0.751609,11597436
2007-09-25,1.236340,1.236340,1.202698,1.202698,0.731157,7018625
2007-09-26,1.219519,1.286803,1.211108,1.236340,0.751609,10192641
2007-09-27,1.244750,1.261571,1.236340,1.236340,0.751609,8633871
2007-09-28,1.244750,1.278392,1.244750,1.261571,0.766948,6837898
2007-10-01,1.269982,1.278392,1.253161,1.261571,0.766948,2058741
2007-10-02,1.269982,1.278392,1.261571,1.269982,0.772061,11613488
2007-10-03,1.278392,1.286803,1.236340,1.236340,0.751609,6558484
2007-10-04,1.244750,1.253161,1.236340,1.236340,0.751609,8774
2007-10-05,1.244750,1.253161,1.244750,1.253161,0.761835,3698956
2007-10-08,1.253161,1.253161,1.236340,1.244750,0.756722,1351290
2007-10-09,1.253161,1.253161,1.236340,1.244750,0.756722,2055174
2007-10-10,1.253161,1.261571,1.236340,1.244750,0.756722,1217528
2007-10-11,1.244750,1.278392,1.236340,1.278392,0.777174,3188878
2007-10-12,1.269982,1.269982,1.244750,1.253161,0.761835,888772
2007-10-16,1.253161,1.261571,1.244750,1.253161,0.761835,8274201
2007-10-17,1.244750,1.253161,1.236340,1.236340,0.751609,5031817
2007-10-18,1.244750,1.244750,1.236340,1.236340,0.751609,2282866
2007-10-19,1.244750,1.244750,1.219519,1.219519,0.741384,2608055
2007-10-22,1.202698,1.227929,1.202698,1.211108,0.736270,5527628
2007-10-23,1.227929,1.227929,1.211108,1.211108,0.736270,1052853
2007-10-24,1.219519,1.253161,1.219519,1.253161,0.761835,1438681
2007-10-25,1.244750,1.244750,1.227929,1.244750,0.756722,4520551
2007-10-26,1.244750,1.253161,1.227929,1.253161,0.761835,3637723
2007-10-29,1.261571,1.269982,1.244750,1.261571,0.766948,2570602
2007-10-30,1.261571,1.286803,1.253161,1.269982,0.772061,8654679
2007-10-31,1.261571,1.261571,1.253161,1.261571,0.766948,6807578
2007-11-01,1.261571,1.261571,1.227929,1.227929,0.746496,2880929
2007-11-02,1.211108,1.261571,1.211108,1.244750,0.756722,10221177
2007-11-05,1.261571,1.261571,1.219519,1.219519,0.741384,943465
2007-11-06,1.244750,1.261571,1.219519,1.261571,0.766948,28594684
2007-11-07,1.261571,1.278392,1.244750,1.269982,0.772061,8083368
2007-11-09,1.261571,1.278392,1.244750,1.278392,0.777174,2589032
2007-11-12,1.253161,1.261571,1.253161,1.253161,0.761835,6458609
2007-11-13,1.261571,1.261571,1.236340,1.253161,0.761835,3379117
2007-11-14,1.253161,1.261571,1.253161,1.253161,0.761835,2249574
2007-11-15,1.261571,1.261571,1.253161,1.261571,0.766948,3737599
2007-11-16,1.261571,1.261571,1.219519,1.236340,0.751609,3898113
2007-11-19,1.244750,1.253161,1.236340,1.244750,0.756722,2034366
2007-11-20,1.227929,1.261571,1.227929,1.261571,0.766948,3700145
2007-11-21,1.244750,1.261571,1.236340,1.244750,0.756722,2377391
2007-11-22,1.227929,1.236340,1.211108,1.236340,0.751609,6880701
2007-11-23,1.244750,1.269982,1.236340,1.269982,0.772061,5726784
2007-11-26,1.253161,1.295213,1.253161,1.295213,0.787400,6884268
2007-11-27,1.295213,1.312034,1.278392,1.312034,0.797626,5288640
2007-11-28,1.312034,1.337266,1.303624,1.328855,0.807852,7355704
2007-11-29,1.328855,1.337266,1.328855,1.337266,0.812965,5900971
2007-11-30,1.337266,1.354087,1.328855,1.337266,0.812965,14372546
2007-12-03,1.337266,1.379318,1.337266,1.370908,0.833417,10696774
2007-12-04,1.370908,1.379318,1.354087,1.362497,0.828304,5285073
2007-12-05,1.362497,1.396139,1.362497,1.387729,0.843643,6536488
2007-12-06,1.396139,1.463423,1.396139,1.438191,0.874321,16470524
2007-12-07,1.446602,1.463423,1.379318,1.379318,0.838530,25498547
2007-12-10,1.379318,1.379318,1.328855,1.328855,0.810323,5371869
2007-12-11,1.345676,1.345676,1.278392,1.303624,0.794937,30072008
2007-12-12,1.360883,1.360883,1.307515,1.316409,0.802733,9016643
2007-12-13,1.325304,1.343093,1.280831,1.289725,0.786461,14453612
2007-12-14,1.289725,1.307515,1.254147,1.271936,0.775614,24622071
2007-12-17,1.271936,1.280831,1.254147,1.280831,0.781038,12834102
2007-12-18,1.280831,1.316409,1.280831,1.316409,0.802733,8692854
2007-12-19,1.316409,1.325304,1.298620,1.325304,0.808157,11872289
2007-12-21,1.325304,1.360883,1.325304,1.351988,0.824429,4905751
2007-12-24,1.343093,1.369777,1.343093,1.369777,0.835276,1921377
2007-12-26,1.369777,1.369777,1.360883,1.369777,0.835276,406423
2007-12-27,1.360883,1.369777,1.360883,1.369777,0.835276,1304715
2007-12-28,1.369777,1.369777,1.360883,1.369777,0.835276,1113589
2007-12-31,1.369777,1.405356,1.369777,1.405356,0.856972,5347027
2008-01-02,1.387567,1.387567,1.369777,1.387567,0.846125,1000600
2008-01-03,1.378672,1.387567,1.343093,1.369777,0.835276,4071543
2008-01-04,1.369777,1.405356,1.369777,1.405356,0.856972,4817496
2008-01-07,1.369777,1.396461,1.369777,1.387567,0.846125,3076002
2008-01-08,1.396461,1.396461,1.369777,1.396461,0.851548,3601036
2008-01-09,1.387567,1.396461,1.378672,1.378672,0.840700,4879331
2008-01-11,1.387567,1.387567,1.334199,1.343093,0.827008,7954771
2008-01-14,1.343093,1.351988,1.343093,1.351988,0.832485,6048571
2008-01-15,1.351988,1.387567,1.351988,1.360883,0.837962,7307191
2008-01-16,1.343093,1.387567,1.334199,1.351988,0.832485,3982725
2008-01-17,1.360883,1.369777,1.343093,1.351988,0.832485,10959382
2008-01-18,1.325304,1.351988,1.307515,1.351988,0.832485,1896643
2008-01-21,1.343093,1.343093,1.325304,1.334199,0.821532,5128918
2008-01-22,1.325304,1.325304,1.271936,1.289725,0.794147,15172583
2008-01-23,1.289725,1.289725,1.289725,1.289725,0.794147,0
2008-01-24,1.343093,1.351988,1.307515,1.334199,0.821532,11988089
2008-01-25,1.334199,1.343093,1.316409,1.334199,0.821532,88637994
2008-01-28,1.325304,1.369777,1.298620,1.369777,0.843439,25856519
2008-01-29,1.360883,1.360883,1.343093,1.343093,0.827008,1428946
2008-01-30,1.351988,1.351988,1.334199,1.351988,0.832485,6686032
2008-01-31,1.334199,1.369777,1.334199,1.369777,0.843439,13182063
2008-02-04,1.369777,1.396461,1.369777,1.378672,0.848916,8166133
2008-02-05,1.387567,1.387567,1.351988,1.369777,0.843439,5040663
2008-02-06,1.360883,1.369777,1.343093,1.369777,0.843439,9651294
2008-02-11,1.360883,1.378672,1.351988,1.360883,0.837962,16620642
2008-02-12,1.360883,1.396461,1.351988,1.396461,0.859869,9944728
2008-02-13,1.378672,1.405356,1.378672,1.396461,0.859869,13366443
2008-02-14,1.396461,1.414251,1.387567,1.414251,0.870824,12039243
2008-02-15,1.387567,1.414251,1.378672,1.414251,0.870824,3060262
2008-02-18,1.414251,1.423145,1.396461,1.405356,0.865346,21832195
2008-02-19,1.396461,1.423145,1.396461,1.423145,0.876300,6490409
2008-02-20,1.405356,1.423145,1.405356,1.423145,0.876300,7595566
2008-02-21,1.414251,1.423145,1.369777,1.405356,0.865346,13322597
2008-02-22,1.378672,1.387567,1.343093,1.369777,0.843439,12589011
2008-02-25,1.378672,1.378672,1.351988,1.351988,0.832485,1643682
2008-02-26,1.351988,1.387567,1.343093,1.387567,0.854393,2494192
2008-02-27,1.369777,1.378672,1.369777,1.369777,0.843439,7680449
2008-02-28,1.378672,1.378672,1.360883,1.378672,0.848916,935392
2008-02-29,1.369777,1.369777,1.351988,1.369777,0.843439,8849127
2008-03-03,1.334199,1.360883,1.334199,1.343093,0.827008,105209
2008-03-04,1.369777,1.369777,1.325304,1.343093,0.827008,11564239
2008-03-05,1.334199,1.334199,1.263042,1.280831,0.788670,19653922
2008-03-06,1.271936,1.351988,1.263042,1.351988,0.841248,10072333
2008-03-07,1.343093,1.351988,1.325304,1.351988,0.841248,9134692
2008-03-10,1.263042,1.271936,1.156306,1.182990,0.736092,14715567
2008-03-11,1.182990,1.254147,1.174095,1.236358,0.769300,12059480
2008-03-12,1.263042,1.289725,1.263042,1.289725,0.802506,11024027
2008-03-13,1.263042,1.280831,1.227463,1.263042,0.785903,5846203
2008-03-14,1.254147,1.289725,1.245252,1.271936,0.791437,8979543
2008-03-17,1.271936,1.280831,1.254147,1.271936,0.791437,8241459
2008-03-18,1.254147,1.289725,1.254147,1.280831,0.796972,3806215
2008-03-19,1.298620,1.325304,1.271936,1.280831,0.796972,15011812
2008-03-21,1.280831,1.298620,1.271936,1.298620,0.808041,5327914
2008-03-24,1.298620,1.325304,1.289725,1.325304,0.824645,1400278
2008-03-25,1.316409,1.351988,1.316409,1.325304,0.824645,3726954
2008-03-26,1.325304,1.369777,1.316409,1.351988,0.841248,5283506
2008-03-27,1.360883,1.360883,1.343093,1.351988,0.841248,4710128
2008-03-28,1.360883,1.360883,1.343093,1.343093,0.835713,8209980
2008-03-31,1.351988,1.351988,1.271936,1.316409,0.819110,11261248
2008-04-01,1.316409,1.325304,1.298620,1.325304,0.824645,15658267
2008-04-02,1.334199,1.343093,1.325304,1.334199,0.830179,6791713
2008-04-03,1.343093,1.351988,1.298620,1.334199,0.830179,7459530
2008-04-04,1.325304,1.343093,1.325304,1.334199,0.830179,3856807
2008-04-07,1.316409,1.343093,1.316409,1.334199,0.830179,1423325
2008-04-08,1.325304,1.334199,1.325304,1.325304,0.824645,1246815
2008-04-09,1.334199,1.343093,1.334199,1.334199,0.830179,8813713
2008-04-10,1.325304,1.343093,1.325304,1.343093,0.835713,1178796
2008-04-11,1.351988,1.351988,1.334199,1.351988,0.841248,1870784
2008-04-14,1.334199,1.351988,1.334199,1.334199,0.830179,5399305
2008-04-15,1.343093,1.343093,1.325304,1.334199,0.830179,4732051
2008-04-16,1.343093,1.351988,1.316409,1.343093,0.835713,3683107
2008-04-17,1.334199,1.343093,1.334199,1.334199,0.830179,607667
2008-04-18,1.343093,1.351988,1.334199,1.351988,0.841248,1399715
2008-04-21,1.351988,1.351988,1.325304,1.334199,0.830179,4605571
2008-04-22,1.325304,1.351988,1.325304,1.334199,0.830179,5703420
2008-04-23,1.316409,1.334199,1.316409,1.325304,0.824645,17957961
